file_name,avg_cyclomatic_complexity,halstead_volume,halstead_effort,depth_of_inheritance_tree,number_of_methods_per_class,weighted_methods_per_class,comment_density,whitespace_ratio,docstring_presence,avg_identifier_length,commit_frequency,author_count,bug_fix_ratio,code_age_days,target_bug_proneness
tests/test_basic.py,4.056818181818182,7993.484710446083,58782.44504143889,2.0,0.5714285714285714,2.318181818181818,0.02313624678663239,0.24318766066838046,0.0,14.069182389937106,140,48,0.2714285714285714,4022,2
tests/conftest.py,1.4166666666666667,87.56842503028855,175.1368500605771,0.0,0.0,0.0,0.031007751937984496,0.26356589147286824,1.0,7.794117647058823,32,8,0.25,4022,0
tests/test_converters.py,2.5,51.89147427955947,57.65719364395497,1.0,1.5,3.75,0.0,0.32558139534883723,0.0,8.736842105263158,4,2,0.0,2286,0
tests/test_logging.py,3.7142857142857144,217.98463765702255,452.11628551086153,0.0,0.0,0.0,0.0,0.30303030303030304,0.0,11.11111111111111,15,3,0.13333333333333333,2968,0
tests/test_signals.py,3.857142857142857,301.26792647514816,150.63396323757408,0.0,0.0,0.0,0.0,0.23626373626373626,0.0,12.757575757575758,27,9,0.14814814814814814,4022,0
tests/test_request.py,6.333333333333333,227.43101255050217,610.4727178987164,0.0,0.0,0.0,0.04225352112676056,0.2535211267605634,0.0,9.066666666666666,2,1,0.0,318,0
tests/test_async.py,1.8181818181818181,27.0,27.0,1.0,0.0,0.0,0.0,0.2876712328767123,0.0,9.731707317073171,12,4,0.4166666666666667,1623,0
tests/test_session_interface.py,2.0,15.509775004326936,15.509775004326936,1.0,2.0,4.0,0.0,0.27586206896551724,1.0,11.333333333333334,3,2,0.0,1687,0
tests/test_instance_config.py,2.0,507.4614312323326,535.141145663187,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,13.846153846153847,21,6,0.14285714285714285,4022,0
tests/test_views.py,3.0,500.6752126882218,854.0930098799078,2.0,1.1818181818181819,3.545454545454546,0.0038314176245210726,0.31417624521072796,0.0,10.966666666666667,21,8,0.09523809523809523,4022,1
tests/test_json_tag.py,2.2,36.0,42.0,1.0,0.8,1.7600000000000002,0.0,0.26436781609195403,0.0,8.580645161290322,12,5,0.16666666666666666,3027,0
